mdf,ngram,features,fscore
60.0,3.0,1000.0,0.20359281437125748
70.0,1.0,1000.0,0.20238095238095236
70.0,2.0,1000.0,0.2325581395348837
70.0,3.0,1000.0,0.2325581395348837
80.0,1.0,1000.0,0.19999999999999998
80.0,2.0,1000.0,0.2325581395348837
80.0,3.0,1000.0,0.25287356321839083
90.0,1.0,1000.0,0.22093023255813954
90.0,2.0,1000.0,0.22093023255813954
90.0,3.0,1000.0,0.22093023255813954
100.0,1.0,1000.0,0.22093023255813954
100.0,2.0,1000.0,0.22093023255813954
100.0,3.0,1000.0,0.20238095238095236
1.0,1.0,1100.0,0.40384615384615385
1.0,2.0,1100.0,0.42156862745098034
1.0,3.0,1100.0,0.4236453201970443
5.0,1.0,1100.0,0.41545893719806765
5.0,2.0,1100.0,0.4158415841584159
5.0,3.0,1100.0,0.43137254901960786
10.0,1.0,1100.0,0.4411764705882353
10.0,2.0,1100.0,0.47393364928909953
10.0,3.0,1100.0,0.490566037735849
20.0,1.0,1100.0,0.3404255319148936
20.0,2.0,1100.0,0.36649214659685864
20.0,3.0,1100.0,0.35978835978835977
30.0,1.0,1100.0,0.2857142857142857
30.0,2.0,1100.0,0.30434782608695654
30.0,3.0,1100.0,0.31016042780748665
40.0,1.0,1100.0,0.2628571428571429
40.0,2.0,1100.0,0.28888888888888886
40.0,3.0,1100.0,0.2905027932960894
50.0,1.0,1100.0,0.20481927710843373
50.0,2.0,1100.0,0.2352941176470588
50.0,3.0,1100.0,0.2352941176470588
60.0,1.0,1100.0,0.2235294117647059
60.0,2.0,1100.0,0.22485207100591717
60.0,3.0,1100.0,0.2222222222222222
70.0,1.0,1100.0,0.1807228915662651
70.0,2.0,1100.0,0.2235294117647059
70.0,3.0,1100.0,0.2235294117647059
80.0,1.0,1100.0,0.1807228915662651
80.0,2.0,1100.0,0.25287356321839083
80.0,3.0,1100.0,0.25287356321839083
90.0,1.0,1100.0,0.22093023255813954
90.0,2.0,1100.0,0.22093023255813954
90.0,3.0,1100.0,0.2235294117647059
100.0,1.0,1100.0,0.22093023255813954
100.0,2.0,1100.0,0.22093023255813954
100.0,3.0,1100.0,0.2222222222222222
1.0,1.0,1200.0,0.4097560975609756
1.0,2.0,1200.0,0.43137254901960786
1.0,3.0,1200.0,0.4390243902439025
5.0,1.0,1200.0,0.4134615384615385
5.0,2.0,1200.0,0.4236453201970443
5.0,3.0,1200.0,0.43137254901960786
10.0,1.0,1200.0,0.4411764705882353
10.0,2.0,1200.0,0.47393364928909953
10.0,3.0,1200.0,0.4834123222748814
20.0,1.0,1200.0,0.33862433862433866
20.0,2.0,1200.0,0.3529411764705882
20.0,3.0,1200.0,0.3645833333333333
30.0,1.0,1200.0,0.2777777777777778
30.0,2.0,1200.0,0.31016042780748665
30.0,3.0,1200.0,0.2967032967032967
40.0,1.0,1200.0,0.2543352601156069
40.0,2.0,1200.0,0.28888888888888886
40.0,3.0,1200.0,0.28888888888888886
50.0,1.0,1200.0,0.22485207100591717
50.0,2.0,1200.0,0.2352941176470588
50.0,3.0,1200.0,0.2352941176470588
60.0,1.0,1200.0,0.18404907975460125
60.0,2.0,1200.0,0.2222222222222222
60.0,3.0,1200.0,0.2222222222222222
70.0,1.0,1200.0,0.20118343195266272
70.0,2.0,1200.0,0.2325581395348837
70.0,3.0,1200.0,0.2235294117647059
80.0,1.0,1200.0,0.19999999999999998
80.0,2.0,1200.0,0.21176470588235294
80.0,3.0,1200.0,0.25287356321839083
90.0,1.0,1200.0,0.22093023255813954
90.0,2.0,1200.0,0.22093023255813954
90.0,3.0,1200.0,0.20238095238095236
100.0,1.0,1200.0,0.22093023255813954
100.0,2.0,1200.0,0.22093023255813954
100.0,3.0,1200.0,0.22093023255813954
1.0,1.0,1300.0,0.4057971014492754
1.0,2.0,1300.0,0.41951219512195115
1.0,3.0,1300.0,0.4411764705882353
5.0,1.0,1300.0,0.41545893719806765
5.0,2.0,1300.0,0.43137254901960786
5.0,3.0,1300.0,0.4390243902439025
10.0,1.0,1300.0,0.4390243902439025
10.0,2.0,1300.0,0.47393364928909953
10.0,3.0,1300.0,0.47619047619047616
20.0,1.0,1300.0,0.33862433862433866
20.0,2.0,1300.0,0.35978835978835977
20.0,3.0,1300.0,0.3529411764705882
30.0,1.0,1300.0,0.2777777777777778
30.0,2.0,1300.0,0.3135135135135135
30.0,3.0,1300.0,0.3060109289617486
40.0,1.0,1300.0,0.2613636363636364
40.0,2.0,1300.0,0.28888888888888886
40.0,3.0,1300.0,0.28888888888888886
50.0,1.0,1300.0,0.18404907975460125
50.0,2.0,1300.0,0.2352941176470588
50.0,3.0,1300.0,0.24561403508771928
60.0,1.0,1300.0,0.21556886227544908
60.0,2.0,1300.0,0.2222222222222222
60.0,3.0,1300.0,0.2222222222222222
70.0,1.0,1300.0,0.20118343195266272
70.0,2.0,1300.0,0.2325581395348837
70.0,3.0,1300.0,0.2325581395348837
80.0,1.0,1300.0,0.19999999999999998
80.0,2.0,1300.0,0.25287356321839083
80.0,3.0,1300.0,0.25287356321839083
90.0,1.0,1300.0,0.22093023255813954
90.0,2.0,1300.0,0.22093023255813954
90.0,3.0,1300.0,0.22093023255813954
100.0,1.0,1300.0,0.22093023255813954
100.0,2.0,1300.0,0.22093023255813954
100.0,3.0,1300.0,0.22093023255813954
1.0,1.0,1400.0,0.38235294117647056
1.0,2.0,1400.0,0.41951219512195115
1.0,3.0,1400.0,0.44660194174757284
5.0,1.0,1400.0,0.4134615384615385
5.0,2.0,1400.0,0.43137254901960786
5.0,3.0,1400.0,0.4236453201970443
10.0,1.0,1400.0,0.4390243902439025
10.0,2.0,1400.0,0.47393364928909953
10.0,3.0,1400.0,0.47619047619047616
20.0,1.0,1400.0,0.33862433862433866
20.0,2.0,1400.0,0.3529411764705882
20.0,3.0,1400.0,0.3578947368421052
30.0,1.0,1400.0,0.2777777777777778
30.0,2.0,1400.0,0.3060109289617486
30.0,3.0,1400.0,0.3060109289617486
40.0,1.0,1400.0,0.2613636363636364
40.0,2.0,1400.0,0.2824858757062147
